id,status,contract_reference,state,county
3858,Completed,C46760013,5069,5117
4517,Completed,C53890018,5069,5117
68525,Completed,C700350010,5069,5117
4437,Completed,C53030011,5069,5117
65102,Completed,C667420012,5071,5118
63094,Completed,C647830017,5071,5118
3850,Completed,C46650016,5069,5117
3745,Completed,C45540010,5070,5119
67736,Completed,C692650013,5071,5118
4512,Completed,C53830014,5069,5117
3455,Completed,C42500017,5071,5118
6455,Completed,C74380015,5069,5117
58349,Completed,C601090012,5069,5117
3656,Completed,C44620011,5071,5118
3721,Completed,C45280013,5070,5119
3709,Completed,C45160017,5071,5118
3481,Completed,C42800011,5069,5117
67301,Completed,C688510015,5071,5118
6172,Completed,C71010011,5069,5117
3472,Completed,C42710012,5069,5117
6796,Completed,C77930014,5069,5117
5771,Completed,C66780016,5069,5117
3480,Completed,C42790014,5069,5117
4275,Completed,C51350015,5071,5118
5165,Completed,C60460011,5069,5117
5837,Completed,C67440016,5070,5119
5677,Completed,C65810012,5071,5118
3505,Completed,C43100015,5069,5117
6833,Completed,C78310018,5069,5117
5170,Completed,C60510013,5069,5117
4449,Completed,C53150017,5069,5117
59360,Completed,C610620015,5071,5118
4140,Completed,C49980014,5069,5117
6322,Completed,C72790017,5069,5117
4683,Completed,C55560015,5070,5119
6293,Completed,C72430010,5069,5117
3785,Completed,C45960010,5071,5118
63023,Completed,C647180017,5070,5119
4675,Completed,C55480016,5069,5117
4849,Completed,C57270019,5069,5117
5081,Completed,C59610014,5069,5117
3716,Completed,C45230018,5071,5118
3822,Completed,C46370011,5069,5117
4276,Completed,C51360014,5071,5118
5484,Completed,C63730014,5069,5117
4168,Completed,C50260017,5071,5118
3671,Completed,C44770014,5069,5117
3527,Completed,C43320019,5069,5117
54223,Completed,C559350012,5069,5117
67389,Completed,C689240018,5069,5117
66509,Completed,C680810017,5071,5118
6743,Completed,C77400018,5070,5119
6218,Completed,C71520019,5070,5119
3474,Completed,C42730010,5069,5117
5168,Completed,C60490018,5069,5117
59865,Completed,C615570017,5069,5117
3706,Completed,C45130010,5069,5117
4112,Completed,C49700016,5070,5119
40329,Completed,C420000010,5071,5118
3702,Completed,C45090016,5069,5117
3641,Completed,C44470011,5069,5117
4830,Completed,C57070013,5069,5117
4217,Completed,C50770015,5071,5118
36192,Completed,C379060015,5071,5118
5072,Completed,C59520015,5069,5117
3977,Completed,C48260012,5071,5118
3507,Completed,C43120013,5069,5117
3904,Completed,C47530019,5071,5118
4004,Completed,C48560015,5069,5117
3752,Completed,C45620010,5071,5118
3996,Completed,C48460018,5069,5117
66893,Completed,C684760010,5069,5117
6804,Completed,C78010014,5071,5118
68076,Completed,C696040013,5069,5117
5840,Completed,C67470013,5070,5119
6795,Completed,C77920015,5068,5120
26147,Completed,C277970018,5069,5117
3698,Completed,C45050010,5069,5117
6362,Completed,C73260010,5071,5118
4397,Completed,C52620010,5069,5117
68296,Completed,C698210010,5071,5118
5453,Completed,C63400014,5070,5119
67665,Completed,C691960017,5068,5120
3549,Completed,C43540012,5069,5117
5016,Completed,C58970013,5069,5117
3853,Completed,C46690012,5071,5118
6416,Completed,C73980013,5068,5120
3640,Completed,C44460012,5069,5117
6504,Completed,C74880014,5071,5118
4113,Completed,C49710015,5070,5119
3392,Completed,C41540014,5071,5118
66566,Completed,C681370011,5068,5120
5235,Completed,C61160016,5071,5118
3835,Completed,C46500013,5069,5117
4312,Completed,C51740017,5069,5117
43538,Completed,C452250012,5071,5118
4992,Completed,C58720012,5069,5117
4650,Completed,C55220016,5069,5117
4306,Completed,C51680015,5069,5117
5493,Completed,C63820013,5069,5117
3866,Completed,C46840013,5071,5118
6642,Completed,C76320019,5071,5118
6141,Completed,C70700018,5071,5118
6920,Completed,C79210019,5070,5119
3465,Completed,C42610014,5069,5117
4286,Completed,C51460012,5069,5117
4174,Completed,C50320019,5069,5117
6797,Completed,C77940013,5071,5118
4342,Completed,C52040011,5069,5117
5461,Completed,C63490015,5071,5118
4464,Completed,C53310017,5069,5117
5640,Completed,C65440018,5069,5117
8989,Completed,C102110012,5070,5119
65453,Completed,C670500016,5068,5120
3645,Completed,C44510014,5069,5117
6174,Completed,C71030019,5071,5118
65972,Completed,C675700017,5071,5118
4530,Completed,C54020011,5069,5117
3777,Completed,C45880010,5069,5117
5567,Completed,C64610017,5071,5118
4282,Completed,C51420016,5069,5117
63733,Completed,C654200013,5068,5120
67975,Completed,C694960014,5068,5120
3522,Completed,C43270016,5069,5117
64292,Completed,C659840011,5071,5118
4843,Completed,C57210015,5068,5120
4739,Completed,C56140015,5068,5120
3890,Completed,C47100011,5069,5117
3848,Completed,C46630018,5071,5118
5991,Completed,C69170017,5069,5117
4764,Completed,C56390016,5071,5118
3815,Completed,C46290011,5069,5117
5395,Completed,C62780010,5069,5117
68041,Completed,C695640011,5068,5120
4356,Completed,C52180015,5071,5118
4567,Completed,C54390018,5070,5119
3723,Completed,C45320017,5070,5119
6073,Completed,C70030010,5071,5118
4498,Completed,C53670014,5069,5117
4136,Completed,C49940018,5069,5117
5030,Completed,C59110015,5069,5117
4314,Completed,C51760015,5069,5117
5912,Completed,C68190016,5068,5120
6327,Completed,C72840010,5071,5118
3705,Completed,C45120011,5071,5118
3629,Completed,C44340016,5069,5117
4989,Completed,C58690017,5069,5117
3940,Completed,C47890017,5069,5117
68165,Completed,C696820018,5068,5120
6106,Completed,C70350012,5071,5118
6911,Completed,C79100012,5068,5120
6706,Completed,C77030013,5071,5118
68386,Completed,C699120010,5069,5117
42018,Completed,C437000011,5071,5118
4152,Completed,C50100015,5071,5118
7205,Completed,C82080011,5069,5117
4641,Completed,C55130017,5069,5117
6708,Completed,C77050011,5069,5117
5682,Completed,C65860017,5071,5118
3631,Completed,C44360014,5069,5117
4833,Completed,C57100018,5071,5118
6356,Completed,C73200016,5069,5117
6741,Completed,C77380012,5071,5118
6509,Completed,C74930017,5069,5117
65071,Completed,C667070015,5069,5117
3539,Completed,C43440015,5069,5117
68569,Completed,C700860018,5068,5120
6546,Completed,C75320010,5069,5117
6367,Completed,C73310013,5069,5117
66252,Completed,C678290016,5071,5118
3741,Completed,C45500014,5069,5117
4503,Completed,C53720017,5069,5117
3504,Completed,C43090018,5069,5117
4582,Completed,C54540018,5070,5119
3283,Completed,C37840014,5071,5118
3782,Completed,C45930013,5071,5118
4655,Completed,C55270011,5070,5119
54711,Completed,C564220010,5069,5117
3419,Completed,C41870015,5071,5118
68715,Completed,C702290016,5071,5118
5471,Completed,C63600019,5071,5118
7114,Completed,C81150013,5069,5117
6595,Completed,C75810010,5069,5117
4824,Completed,C57010019,5069,5117
5176,Completed,C60570017,5069,5117
5878,Completed,C67850016,5068,5120
3562,Completed,C43670017,5069,5117
3892,Completed,C47390018,5071,5118
3540,Completed,C43450014,5071,5118
6511,Completed,C74950015,5069,5117
67797,Completed,C405870023,5071,5118
3828,Completed,C46430013,5069,5117
4297,Completed,C51570018,5069,5117
5566,Completed,C64600018,5069,5117
6382,Completed,C73550014,5070,5119
3684,Completed,C44910016,5069,5117
5299,Completed,C61820015,5069,5117
4242,Completed,C51020014,5069,5117
5541,Completed,C64330012,5069,5117
6107,Completed,C70360011,5071,5118
